title,author,date,link,push_count
[情報] 永豐推出魔獸大戶DEBIT卡&SPORT卡,lynnlelia071,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673079372.A.ACA.html,8
[情報] 大戶DAWHO鴻兔DA展頭籤添美金(1/6-1/17),sin70,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673094919.A.9CD.html,69
[問題] 有錢人的特殊帳戶?,euser1777,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673096489.A.E73.html,19
[心得] 一銀 iLEO 數位帳戶開戶心得報告,guest2008,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673100569.A.D77.html,23
Re: [分享] 上海銀行112年~6月30日數帳活存1.825%,smillface,1/07,https://www.ptt.cc/bbs/Bank_Service/M.1673103255.A.E8D.html,8
[公告] 水桶名單,crazyghost,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673109130.A.52A.html,
[問題] 新光 OU真的很棒？,cmh1017,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673111496.A.BED.html,1
[問題] iLEO取消預約轉帳,tengobo,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673125011.A.E5F.html,2
[問題] 有關台新Richart數位銀行,ejoejo0222,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673133246.A.E80.html,2
[討論] 網銀使用完會登出嗎？,Bejita,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673155196.A.429.html,15
Re: [問題] 華南Sny數位帳戶一直申請失敗,lacunary,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673159328.A.FAF.html,48
[問題] 美金高利定存?,rolyshow,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673159518.A.193.html,15
［問題］臨櫃匯款完被要求提供雙證件是正常,anitaana,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673161119.A.836.html,12
[海外] 香港滙豐卓越理財HSBC Premier開戶心得,BNYMellon,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673167499.A.CEC.html,17
[討論] HSBC Premier 匯豐開戶問題,hsupeter92,1/08,https://www.ptt.cc/bbs/Bank_Service/M.1673169889.A.8E8.html,16
[問題] 新手理財定存一問,genkgb,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673229643.A.514.html,7
[心得] SnY數位帳戶轉換為一般戶,imkiwiwi,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673232911.A.C86.html,42
Re: [情報] 新光銀行OU數位帳戶抽紅包,a200895421,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673245830.A.1D9.html,爆
[新聞] 詐騙囚禁案嫌被輕放 金管會提4大措施嚴正澄清,ykkdc,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673259083.A.9C3.html,9
[心得] SNY數位帳戶晶片金融卡申辦心得,shuhong,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673262044.A.930.html,63
Re: [分享] 上海銀行112年~6月30日數帳活存1.825,smillface,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673263464.A.F0F.html,15
[情報] 富邦新臺幣12個月定存1.58%,Electroche,1/09,https://www.ptt.cc/bbs/Bank_Service/M.1673272369.A.74D.html,6
[問題] 王道視訊連不上?,dreamgirl,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673308382.A.8C0.html,5
[問題] 最佳的美元定存優惠,lgs120,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673334693.A.DF2.html,5
[閒聊] 國泰2022個人年度回顧,ciwwin,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673342779.A.E07.html,6
[情報] 兔年好福氣 Richart數位銀行 抽5~100LP,arashivivian,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673343997.A.220.html,爆
[新聞] 永豐攜手中華郵政 擴大ATM服務,ykkdc,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673353745.A.BD9.html,8
[問題] 富邦金融卡在ATM申請跨國提款,lsit,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673358290.A.0BA.html,1
[公告] lgs120 水桶一個月,crazyghost,1/10,https://www.ptt.cc/bbs/Bank_Service/M.1673365244.A.CAE.html,3
土地銀行數位存款專案利率還未上架,id4,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673394273.A.EBD.html,32
"[情報] Bankee發紅包 888,888元 活動",oyhvbaby,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673399751.A.D45.html,11
[情報] 全國農業金庫可以開三類數位存款帳戶了,qxxrbull,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673406703.A.1FC.html,20
[問題] 華南銀行sny轉一般戶後申請簽帳金融卡,petrograd,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673408164.A.CDD.html,22
[新聞] 14家金控2022獲利衰退5成 僅兩家正成長,ykkdc,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673413915.A.BA1.html,5
[情報] 京城銀行 步步京喜,ykkdc,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673427257.A.583.html,18
[心得] 國泰cube金融卡功能開卡失敗二連擊,bluedolphin,1/11,https://www.ptt.cc/bbs/Bank_Service/M.1673450200.A.BA7.html,4
[閒聊] 太多數位帳戶是否會有問題？,hank951,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673491505.A.D12.html,46
[新聞] 銀行員勾結詐騙 金管會四大防堵措施,ykkdc,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673494548.A.783.html,9
Re: [情報] 全國農業金庫可以開三類數位存款帳戶,huangci,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673497612.A.3C0.html,9
[心得] 一早收到將來的800N,urania0607,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673497759.A.A8A.html,11
Fw: [情報] 萬事達卡Debit Card卡友優惠,sin70,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673515757.A.88C.html,9
支票禁止背書轉讓問題,akag,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673521520.A.47C.html,7
Re: [分享] 上海銀行112年~6月30日數帳活存1.825,cmh19,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673525649.A.2CB.html,10
Re: [問題] 華南銀行sny轉一般戶後申請簽帳金融卡,petrograd,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673529958.A.EB1.html,52
[新聞] 金控非合意併購 金管會揭6金7銀夠格,TZUYIC,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673533225.A.80F.html,10
[情報] 新光銀行app更新：新增約轉本人他行帳戶,ykkdc,1/12,https://www.ptt.cc/bbs/Bank_Service/M.1673537620.A.FC6.html,54
Re: [分享] 上海銀行112年~6月30日數帳活存1.825,ykkdc,1/13,https://www.ptt.cc/bbs/Bank_Service/M.1673579805.A.405.html,9
Re: [問題] 台新Richart 2023任務 證券罐,kutkin,1/13,https://www.ptt.cc/bbs/Bank_Service/M.1673583662.A.CB5.html,24
[問題] 中信fatca聲明書問題,harryckh,1/13,https://www.ptt.cc/bbs/Bank_Service/M.1673587074.A.2E5.html,3
[問題] 有人也有收到這個簡訊嗎,d112013735,1/14,https://www.ptt.cc/bbs/Bank_Service/M.1673669498.A.B75.html,15
[情報] 4/20起兆豐網銀自行轉帳顯示 戶名→帳號,TZUYIC,1/14,https://www.ptt.cc/bbs/Bank_Service/M.1673692425.A.8D3.html,
Re: [心得] 將來銀行轉帳出包,Dexter,1/14,https://www.ptt.cc/bbs/Bank_Service/M.1673700267.A.788.html,44
[新聞] 喊鬆綁5大業務 黃天牧：純網銀不甘心做沙丁魚,ykkdc,1/14,https://www.ptt.cc/bbs/Bank_Service/M.1673704561.A.0A4.html,16
[問題] 國泰數位帳戶 金融卡,yowin,1/14,https://www.ptt.cc/bbs/Bank_Service/M.1673708587.A.AE1.html,5
國泰i刷/KOKO簽帳金融卡指定通路2%,Subscript9,1/15,https://www.ptt.cc/bbs/Bank_Service/M.1673765390.A.D6B.html,9
[心得] 中信實體戶+國泰玉山富邦網路開戶心得,CharlesKSQ,1/16,https://www.ptt.cc/bbs/Bank_Service/M.1673801472.A.AF0.html,16
[情報] iLEO 掃碼支付台灣Pay抽紅利點數,Kenhon,1/16,https://www.ptt.cc/bbs/Bank_Service/M.1673844912.A.578.html,51
Re: [情報] 新光銀行OU數位帳戶抽紅包,arashivivian,1/16,https://www.ptt.cc/bbs/Bank_Service/M.1673855271.A.E46.html,爆
[心得] 絕對不要開台灣銀行第三類數位帳戶,allcliche,1/16,https://www.ptt.cc/bbs/Bank_Service/M.1673865322.A.4AC.html,63
[情報] 將來銀行改成只能約定兩組非本人的帳號了,avhacker,1/16,https://www.ptt.cc/bbs/Bank_Service/M.1673878927.A.740.html,21
[新聞] 台新Richart開通外國人線上數位帳戶,p520888,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673888984.A.F67.html,10
[情報] 台灣Pay 兔來運轉 紅包「兔」YOU,Kenhon,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673930977.A.FC3.html,22
[心得] 香港渣打開戶心得,BNYMellon,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673935564.A.928.html,6
[情報] 各家銀行轉出與電子支付額度,yixianl,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673946015.A.F0A.html,5
[閒聊] 滙豐銀行 新春紅包袋 香港/台灣 開箱,BNYMellon,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673962650.A.A30.html,10
[情報] 台中商銀2023兔年刮刮樂,operatorm,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673964412.A.ABC.html,6
[新聞] 樂天新戶首綁街口支付最高回饋700元,ykkdc,1/17,https://www.ptt.cc/bbs/Bank_Service/M.1673967813.A.3AB.html,6
[公告] 多人水桶,jasome,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1673972946.A.3D6.html,
[新聞] 金管會通過台北富邦銀合併日盛銀,aiyowaya,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1673976542.A.9C4.html,10
[情報] Richart 2023 Q1美元定存4.8%,jackychen501,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674024853.A.E6F.html,13
Re: [新聞] 新鈔哪裡換 央行地圖速查24至28日可兌鈔,caserchen,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674025704.A.13D.html,9
[心得] 台中銀行非常保守，預約開戶被拒絕了 XD,TZUYIC,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674033420.A.0D6.html,43
"[情報] 富邦銀行帳戶 ""首綁"" 全盈+Pay消費贈88元",kinkids,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674038008.A.195.html,7
"[情報] ""首開"" 808數位帳戶，綁定電子支付享回饋",kinkids,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674042418.A.B0D.html,23
"[情報] ""首開"" 樂天帳戶 x 街口支付，最高贈700",kinkids,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674043433.A.31A.html,
[心得] 國泰世華KOKO帳加辦實體戶-成功,Subscript9,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674051969.A.FE5.html,17
Re: [問題] 台新Richart 2023任務 證券罐,ageba,1/18,https://www.ptt.cc/bbs/Bank_Service/M.1674053403.A.BA3.html,7
[新聞] 匯銀人士：央行今年不再升息 台幣下半年挑戰2字頭,ykkdc,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674099905.A.E57.html,8
"[情報] 陽信定存,台幣1年固定利率1.6%",goodsonic,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674107536.A.E17.html,10
[情報] 2023/01/19國泰koko跨行提款被收手續費,xyzb,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674108710.A.672.html,X5
[問題] 國泰財富管理黃金VIP存款問題,manueltu,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674115173.A.7F2.html,5
[問題] 將來銀行無法提款,babymi1122,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674120531.A.A40.html,12
[情報] 新光銀LINE活動 搶紅包小遊戲,ssotcyber,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674120591.A.4EF.html,26
[情報] 凱基信貸1.58%起,bg102096,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674125596.A.80D.html,17
[新聞] 反對升息半碼鷹派理事砲轟：央行至今未擺,TZUYIC,1/19,https://www.ptt.cc/bbs/Bank_Service/M.1674127456.A.658.html,18
Re: [心得] 國泰開卡失敗二連擊,Shakermaker,1/20,https://www.ptt.cc/bbs/Bank_Service/M.1674188025.A.644.html,1
Re: [情報] 凱基信貸1.58%起,ocibear,1/20,https://www.ptt.cc/bbs/Bank_Service/M.1674212645.A.54C.html,4
[情報] 京城台幣高利階梯式定存專案,ykkdc,1/20,https://www.ptt.cc/bbs/Bank_Service/M.1674213702.A.14A.html,3
[問題] 大戶Debit是否可線上關閉簽帳,freerider90,1/21,https://www.ptt.cc/bbs/Bank_Service/M.1674266920.A.9CD.html,10
[情報] 永豐尊榮限定搶先玩,a96385210,1/21,https://www.ptt.cc/bbs/Bank_Service/M.1674291188.A.981.html,4
[公告] 新年快樂,jasome,1/21,https://www.ptt.cc/bbs/Bank_Service/M.1674308714.A.841.html,爆
[問題] 銀行可以拒絕幫存戶做一年期定存嗎?,polleyanna,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674319277.A.501.html,42
[閒聊] 過年期間，網路銀行外幣定存,Takadanobaba,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674355209.A.778.html,2
[問題] 人民幣定存高利請益,sseeaann,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674356531.A.104.html,1
[情報] 台新鴻兔大展發紅包抽airpods pro,yuenru,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674358918.A.B73.html,2
[新聞] 花旗分行、ATM 8月成追憶！經典招牌台北信義區才看得到,ykkdc,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674364872.A.2A9.html,27
Re: [新聞] 搶攻紅包「回存」潮　遠銀Direct祭出高利,spidina,1/22,https://www.ptt.cc/bbs/Bank_Service/M.1674376078.A.2E3.html,36
[問題] 聯邦數位新戶申請,zeqw,1/24,https://www.ptt.cc/bbs/Bank_Service/M.1674558652.A.E89.html,12
